2016-09-30 4094 995.00
2016-11-15 3815 390.69
2017-01-10 3058 145.39
2017-02-01 2889 558.77
2017-03-01 2804 561.41
2017-04-01 3282 826.00
2017-05-19 1800 386.28
2017-06-30 2368 899.88
2017-07-31 1613 535.39
2017-08-31 2480 518.06
2017-09-30 2580 526.48
2017-11-30 4455 877.02
2017-12-31 2308 594.32
2018-01-31 2226 676.32
2018-02-28 2278 589.63
2018-03-31 2839 531.72
2018-04-30 3019 546.91
2018-05-31 2380 531.05
2018-06-30 2604 787.53
2018-07-31 2090 585.28
2018-08-31 2638 868.19
2018-09-30 2338 660.81
2018-10-31 2512 744.28
2018-11-30 3724 1247.48
2018-12-31 5032 1719.46
2019-01-31 4237 1596.94
2019-02-28 2953 648.90
2019-03-31 3509 858.31
2019-04-30 2964 854.84
2019-05-31 3234 742.03
